species,breed,origin,age_months,gender,health_status,vaccination_status,size,energy_level,exercise_needs,training_needs,trained_level,child_friendly_score,pet_friendly_score,stranger_friendly_score,needs_yard,can_live_in_apartment,grooming_needs,estimated_monthly_cost,noise_level,can_be_left_alone,max_hours_alone,requires_experienced_owner,temperament_tags,description,adoption_success
Cat,Indian Domestic Short Hair,Indian,145,female,healthy,up_to_date,medium,2,moderate,low,basic,8,6,6,False,True,low,1200.0,moderate,True,10,False,"adaptable,independent,hardy,curious,low-maintenance","Most common cat in Indian homes. Hardy, healthy, and extremely adaptable. Perfect for first-time cat owners.",True
Dog,German Shepherd,International,65,female,healthy,partial,large,5,high,moderate,intermediate,8,6,4,True,False,moderate,4500.0,moderate,True,5,False,"loyal,protective,intelligent,versatile,brave",Highly intelligent working dog. Loyal protector. Needs consistent training and daily exercise.,True
Dog,Cocker Spaniel,International,3,female,healthy,partial,medium,4,moderate,moderate,intermediate,8,6,9,False,True,high,4600.0,moderate,True,6,False,"gentle,happy,adaptable,playful,affectionate",Cheerful family dog. Adapts well to apartment life. Requires regular professional grooming and vet ear checkups.,True
Dog,Mixed Breed (Indian Street),Indian,1,female,healthy,partial,medium,4,moderate,moderate,basic,7,5,6,False,True,low,1300.0,moderate,True,7,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,True
Cat,Ragdoll,International,127,male,healthy,up_to_date,large,1,minimal,low,intermediate,9,8,8,False,True,high,6500.0,quiet,True,7,False,"docile,gentle,floppy,affectionate,calm",Goes limp when held — hence Ragdoll. Extremely gentle. Perfect for families with children. Needs regular brushing.,True
Dog,Indie (Rescued),Indian,4,male,healthy,not_vaccinated,medium,4,moderate,moderate,untrained,6,6,4,False,True,low,1500.0,moderate,True,6,False,"resilient,loyal,shy-at-first,adaptable,grateful","Shelter/rescue Indie. May take time to trust. Once bonded, extremely loyal. Very healthy and low maintenance.",True
Dog,German Shepherd,International,5,female,serious_condition,not_vaccinated,large,4,high,moderate,intermediate,8,6,4,True,False,moderate,5200.0,moderate,True,5,False,"loyal,protective,intelligent,versatile,brave",Highly intelligent working dog. Loyal protector. Needs consistent training and daily exercise.,False
Dog,Mixed Breed (Indian Street),Indian,1,male,healthy,partial,medium,4,moderate,moderate,basic,8,7,4,False,True,low,1400.0,moderate,True,7,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,True
Dog,Pug,International,15,female,healthy,partial,small,1,minimal,moderate,basic,9,9,8,False,True,low,4000.0,moderate,True,7,False,"charming,mischievous,loving,calm,social",Made famous by Indian TV ads. Great apartment dog. Brachycephalic — avoid exercise in peak summer heat.,False
Dog,Himalayan Sheepdog,Indian,3,female,minor_condition,up_to_date,large,3,moderate,high,basic,7,4,2,True,False,high,2800.0,moderate,True,5,True,"protective,loyal,mountain,sturdy,guardian",North Indian mountain guardian. Dense thick coat. Needs cooler climate or air-conditioned space in summer.,True
Cat,Indian Domestic Short Hair,Indian,3,male,healthy,partial,medium,4,moderate,low,basic,6,4,4,False,True,low,1200.0,moderate,True,10,False,"adaptable,independent,hardy,curious,low-maintenance","Most common cat in Indian homes. Hardy, healthy, and extremely adaptable. Perfect for first-time cat owners.",True
Dog,Doberman Pinscher,International,67,male,healthy,up_to_date,large,4,high,high,intermediate,6,5,4,True,False,low,4500.0,moderate,True,5,True,"intelligent,alert,protective,energetic,loyal",Popular guard dog in India. Highly intelligent and trainable. Needs extensive exercise and mental stimulation.,True
Dog,Golden Retriever,International,131,female,healthy,up_to_date,large,3,high,moderate,intermediate,10,8,9,True,False,high,4400.0,moderate,True,5,False,"gentle,friendly,patient,trainable,playful",Outstanding family companion. Excellent with children and other pets. Heavy shedder — needs regular grooming.,True
Dog,German Shepherd,International,1,male,healthy,up_to_date,large,5,high,moderate,intermediate,7,6,4,True,False,moderate,4600.0,moderate,True,5,False,"loyal,protective,intelligent,versatile,brave",Highly intelligent working dog. Loyal protector. Needs consistent training and daily exercise.,True
Dog,Bakharwal Dog,Indian,4,female,healthy,up_to_date,large,4,moderate,high,basic,6,4,2,True,False,high,3200.0,vocal,True,5,True,"protective,brave,independent,sturdy,herding","Ancient Himalayan livestock guardian. Thick double coat. Protective of family. Thrives in cold climates, needs experienced owner.",True
Dog,Beagle,International,2,male,healthy,up_to_date,medium,5,high,high,basic,10,7,8,True,False,low,3800.0,vocal,False,3,False,"curious,merry,friendly,vocal,scent-driven","Popular family dog. Follows nose everywhere — needs secure yard. Vocal breed, can disturb neighbors.",True
Cat,Persian Cats,International,90,female,healthy,up_to_date,medium,1,minimal,low,basic,6,5,4,False,True,high,3800.0,quiet,True,11,False,"calm,gentle,quiet,affectionate,lap-cat",Most popular purebred cat in India. Calm and gentle. Daily grooming and AC required in Indian summers.,True
Dog,Pug,International,4,male,healthy,not_vaccinated,small,3,minimal,moderate,basic,10,8,8,False,True,low,3000.0,moderate,True,7,False,"charming,mischievous,loving,calm,social",Made famous by Indian TV ads. Great apartment dog. Brachycephalic — avoid exercise in peak summer heat.,True
Dog,Indie (Rescued),Indian,7,female,minor_condition,up_to_date,medium,3,moderate,moderate,untrained,6,5,5,False,True,low,1400.0,moderate,True,7,False,"resilient,loyal,shy-at-first,adaptable,grateful","Shelter/rescue Indie. May take time to trust. Once bonded, extremely loyal. Very healthy and low maintenance.",True
Cat,Persian Cats,International,15,female,healthy,up_to_date,medium,1,minimal,low,basic,5,4,4,False,True,high,3400.0,quiet,True,10,False,"calm,gentle,quiet,affectionate,lap-cat",Most popular purebred cat in India. Calm and gentle. Daily grooming and AC required in Indian summers.,True
Dog,Indie (Rescued),Indian,65,male,healthy,partial,medium,3,moderate,moderate,untrained,6,6,4,False,True,low,1600.0,moderate,True,6,False,"resilient,loyal,shy-at-first,adaptable,grateful","Shelter/rescue Indie. May take time to trust. Once bonded, extremely loyal. Very healthy and low maintenance.",True
Dog,Chippiparai,Indian,4,female,healthy,partial,medium,5,very_high,high,basic,5,4,2,True,False,low,1900.0,quiet,True,5,True,"fast,agile,elegant,reserved,hunter","Madurai sighthound, bred for hunting. Very fast. Better with experienced owners who can provide structured exercise.",True
Dog,Cocker Spaniel,International,13,male,healthy,partial,medium,3,moderate,moderate,intermediate,9,8,8,False,True,high,4100.0,moderate,True,5,False,"gentle,happy,adaptable,playful,affectionate",Cheerful family dog. Adapts well to apartment life. Requires regular professional grooming and vet ear checkups.,False
Cat,Persian Cats,International,78,female,minor_condition,partial,medium,1,minimal,low,basic,4,7,4,False,True,high,4500.0,quiet,True,10,False,"calm,gentle,quiet,affectionate,lap-cat",Most popular purebred cat in India. Calm and gentle. Daily grooming and AC required in Indian summers.,True
Dog,Mixed Breed (Indian Street),Indian,27,male,healthy,up_to_date,medium,2,moderate,moderate,basic,7,6,3,False,True,low,1500.0,moderate,True,8,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,True
Dog,Mixed Breed (Indian Street),Indian,16,male,healthy,up_to_date,medium,2,moderate,moderate,basic,7,6,5,False,True,low,1700.0,moderate,True,7,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,False
Dog,Combai,Indian,71,male,healthy,up_to_date,medium,5,high,high,basic,4,3,1,True,False,low,1700.0,moderate,True,5,True,"brave,aggressive,protective,powerful,loyal","Bear-hunting dog from Tamil Nadu. Powerful guardian. Requires firm training, socialization, and an experienced handler.",False
Dog,Labrador Retriever,International,8,female,healthy,up_to_date,large,3,high,moderate,intermediate,9,10,9,True,False,moderate,4300.0,moderate,True,5,False,"friendly,outgoing,gentle,trainable,family-dog",Most popular family dog in India. Excellent with children. Needs daily exercise and mental stimulation.,True
Cat,Himalayan,International,18,female,serious_condition,partial,medium,1,minimal,low,basic,7,6,4,False,True,high,4200.0,quiet,True,9,False,"calm,gentle,affectionate,quiet,lap-cat","Persian-Siamese cross. Calm like Persian, slightly more playful. Requires daily grooming and AC in summer.",True
Dog,Mixed Breed (Indian Street),Indian,31,male,healthy,partial,medium,3,moderate,moderate,basic,7,6,7,False,True,low,1300.0,moderate,True,7,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,False
Dog,Doberman Pinscher,International,3,female,healthy,up_to_date,large,5,high,high,intermediate,6,4,4,True,False,low,5600.0,moderate,True,5,True,"intelligent,alert,protective,energetic,loyal",Popular guard dog in India. Highly intelligent and trainable. Needs extensive exercise and mental stimulation.,True
Dog,Bakharwal Dog,Indian,126,female,serious_condition,up_to_date,large,2,moderate,high,basic,7,4,4,True,False,high,3300.0,vocal,True,6,True,"protective,brave,independent,sturdy,herding","Ancient Himalayan livestock guardian. Thick double coat. Protective of family. Thrives in cold climates, needs experienced owner.",True
Dog,Boxer,International,56,male,serious_condition,up_to_date,large,4,high,moderate,intermediate,9,7,5,True,False,low,4100.0,moderate,False,3,False,"playful,loyal,energetic,funny,protective",Playful family dog. Excellent with children. Brachycephalic — needs shade in Indian summers. Very energetic.,False
Dog,Golden Retriever,International,6,female,healthy,not_vaccinated,large,3,high,moderate,intermediate,10,8,10,True,False,high,5500.0,moderate,True,5,False,"gentle,friendly,patient,trainable,playful",Outstanding family companion. Excellent with children and other pets. Heavy shedder — needs regular grooming.,True
Dog,Doberman Pinscher,International,84,female,healthy,not_vaccinated,large,4,high,high,intermediate,5,6,2,True,False,low,5100.0,moderate,True,5,True,"intelligent,alert,protective,energetic,loyal",Popular guard dog in India. Highly intelligent and trainable. Needs extensive exercise and mental stimulation.,False
Dog,Chippiparai,Indian,4,female,healthy,not_vaccinated,medium,5,very_high,high,basic,4,4,3,True,False,low,2000.0,quiet,True,5,True,"fast,agile,elegant,reserved,hunter","Madurai sighthound, bred for hunting. Very fast. Better with experienced owners who can provide structured exercise.",True
Dog,German Shepherd,International,21,female,minor_condition,up_to_date,large,4,high,moderate,intermediate,6,5,3,True,False,moderate,4800.0,moderate,True,6,False,"loyal,protective,intelligent,versatile,brave",Highly intelligent working dog. Loyal protector. Needs consistent training and daily exercise.,True
Dog,Golden Retriever,International,13,male,healthy,partial,large,3,high,moderate,intermediate,10,8,10,True,False,high,4600.0,moderate,True,5,False,"gentle,friendly,patient,trainable,playful",Outstanding family companion. Excellent with children and other pets. Heavy shedder — needs regular grooming.,True
Dog,Golden Retriever,International,24,female,healthy,partial,large,4,high,moderate,intermediate,10,9,10,True,False,high,4400.0,moderate,True,4,False,"gentle,friendly,patient,trainable,playful",Outstanding family companion. Excellent with children and other pets. Heavy shedder — needs regular grooming.,True
Cat,Russian Blue,International,16,male,healthy,partial,medium,2,minimal,low,intermediate,8,5,3,False,True,low,4400.0,quiet,True,9,False,"shy,gentle,loyal,quiet,independent",Elegant blue-coated cat. Shy with strangers but deeply loyal to family. Dislikes loud environments.,True
Dog,Golden Retriever,International,12,male,healthy,up_to_date,large,3,high,moderate,intermediate,9,8,9,True,False,high,4600.0,moderate,True,5,False,"gentle,friendly,patient,trainable,playful",Outstanding family companion. Excellent with children and other pets. Heavy shedder — needs regular grooming.,True
Dog,Shih Tzu,International,47,male,healthy,up_to_date,small,2,minimal,moderate,basic,7,6,7,False,True,high,3300.0,quiet,True,9,False,"affectionate,calm,adaptable,gentle,lap-dog",Excellent apartment dog. Loves attention. Needs extensive daily grooming. Good with children.,False
Dog,Indian Pariah Dog,Indian,14,female,healthy,partial,medium,4,high,moderate,basic,6,7,4,False,True,low,1600.0,moderate,True,7,False,"alert,loyal,intelligent,independent,hardy","Ancient landrace breed, extremely hardy and healthy. Highly adaptable to Indian climate. Intelligent and loyal to family.",False
Cat,Siamese,International,73,female,serious_condition,up_to_date,medium,4,moderate,moderate,intermediate,8,4,5,False,True,low,3900.0,vocal,True,8,False,"vocal,social,intelligent,demanding,affectionate",Very chatty and social. Demands attention. Dislikes being alone long. Bonds deeply with one person.,False
Dog,Labrador Retriever,International,97,female,healthy,up_to_date,large,3,high,moderate,intermediate,9,8,10,True,False,moderate,3800.0,moderate,True,5,False,"friendly,outgoing,gentle,trainable,family-dog",Most popular family dog in India. Excellent with children. Needs daily exercise and mental stimulation.,True
Dog,Jonangi,Indian,16,male,healthy,not_vaccinated,medium,4,high,moderate,basic,6,7,5,False,True,low,1700.0,quiet,True,5,False,"quiet,one-owner,loyal,agile,unusual-vocalization",Andhra Pradesh duck-herding dog. Uniquely doesn't bark — yodels instead. Low maintenance. Can be aloof with strangers.,True
Cat,Maine Coon,International,22,male,healthy,partial,large,3,moderate,moderate,basic,9,9,8,False,True,high,5000.0,moderate,True,8,False,"gentle-giant,dog-like,playful,friendly,social",Largest domestic cat breed. Dog-like personality. Loves water. Needs AC in Indian summers due to long coat.,True
Cat,Persian,International,17,female,healthy,up_to_date,medium,1,minimal,low,basic,6,6,5,False,True,high,4200.0,quiet,True,10,False,"calm,gentle,quiet,affectionate,lap-cat",Most popular purebred cat in India. Calm and gentle. Requires daily grooming and AC in Indian summers.,True
Dog,Pomeranian,International,13,female,serious_condition,up_to_date,small,3,moderate,moderate,intermediate,6,5,2,False,True,high,2800.0,vocal,True,7,False,"alert,bold,fluffy,vocal,attention-seeking",Popular apartment dog. Fluffy and bold. Not ideal with very young children. Vocal watchdog.,False
Cat,Siamese,International,84,male,healthy,partial,medium,4,moderate,moderate,intermediate,7,5,4,False,True,low,3900.0,vocal,True,9,False,"vocal,social,intelligent,demanding,affectionate",Very chatty and social. Demands attention. Dislikes being alone long. Bonds deeply with one person.,True
Dog,Mudhol Hound,Indian,4,male,healthy,not_vaccinated,large,5,very_high,high,intermediate,4,3,4,True,False,low,2000.0,quiet,True,4,True,"agile,fast,independent,reserved,athletic",Karnataka sighthound used by Indian Army. Needs vast space and daily running. Not suited for apartment or first-time owners.,False
Dog,Indian Spitz,Indian,76,female,minor_condition,partial,small,3,moderate,moderate,intermediate,8,8,6,False,True,high,1700.0,vocal,True,8,False,"playful,loyal,alert,vocal,adaptable","Most popular Indian apartment dog. Fluffy, affectionate, highly adaptable. Barks frequently — good watchdog.",True
Dog,Rampur Greyhound,Indian,36,male,healthy,partial,large,5,very_high,moderate,basic,6,5,3,True,False,low,1900.0,quiet,True,4,True,"fast,independent,agile,royal,reserved","Cross between Afghan Hound and English Greyhound, bred for royalty in Rampur. Extremely fast, needs vast open space.",True
Dog,Dachshund,International,127,male,healthy,partial,small,2,moderate,moderate,basic,6,5,6,False,True,low,3100.0,vocal,True,6,False,"curious,lively,stubborn,playful,vocal",Compact apartment dog. Stubborn but charming. Avoid stairs climbing — prone to spinal issues.,True
Dog,Labrador Retriever,International,17,male,healthy,partial,large,3,high,moderate,intermediate,10,9,10,True,False,moderate,4300.0,moderate,True,5,False,"friendly,outgoing,gentle,trainable,family-dog",Most popular family dog in India. Excellent with children. Needs daily exercise and mental stimulation.,True
Cat,Persian,International,6,female,healthy,partial,medium,1,minimal,low,basic,8,7,5,False,True,high,3800.0,quiet,True,10,False,"calm,gentle,quiet,affectionate,lap-cat",Most popular purebred cat in India. Calm and gentle. Requires daily grooming and AC in Indian summers.,True
Dog,Beagle,International,1,male,healthy,partial,medium,5,high,high,basic,8,9,10,True,False,low,4000.0,vocal,False,4,False,"curious,merry,friendly,vocal,scent-driven","Popular family dog. Follows nose everywhere — needs secure yard. Vocal breed, can disturb neighbors.",True
Dog,Indian Spitz,Indian,5,female,healthy,partial,small,4,moderate,moderate,intermediate,8,6,6,False,True,high,2200.0,vocal,True,7,False,"playful,loyal,alert,vocal,adaptable","Most popular Indian apartment dog. Fluffy, affectionate, highly adaptable. Barks frequently — good watchdog.",False
Dog,Labrador Retriever,International,27,female,serious_condition,up_to_date,large,4,high,moderate,intermediate,10,8,10,True,False,moderate,3900.0,moderate,True,5,False,"friendly,outgoing,gentle,trainable,family-dog",Most popular family dog in India. Excellent with children. Needs daily exercise and mental stimulation.,False
Cat,Maine Coon,International,49,male,minor_condition,up_to_date,large,3,moderate,moderate,basic,9,7,8,False,True,high,4400.0,moderate,True,8,False,"gentle-giant,dog-like,playful,friendly,social",Largest domestic cat breed. Dog-like personality. Loves water. Needs AC in Indian summers due to long coat.,False
Cat,Persian Cats,International,49,male,healthy,partial,medium,1,minimal,low,basic,7,8,4,False,True,high,3900.0,quiet,True,11,False,"calm,gentle,quiet,affectionate,lap-cat",Most popular purebred cat in India. Calm and gentle. Daily grooming and AC required in Indian summers.,False
Dog,Pandikona,Indian,90,female,healthy,not_vaccinated,medium,3,high,moderate,basic,7,5,3,True,False,low,1600.0,moderate,True,6,True,"protective,primitive,loyal,independent","Andhra Pradesh primitive breed. Loyal to owner, wary of strangers. Hardy, low maintenance, suited to rural areas.",False
Dog,Golden Retriever,International,52,male,healthy,partial,large,5,high,moderate,intermediate,9,9,9,True,False,high,5400.0,moderate,True,6,False,"gentle,friendly,patient,trainable,playful",Outstanding family companion. Excellent with children and other pets. Heavy shedder — needs regular grooming.,True
Cat,Indian Domestic Short Hair,Indian,24,male,minor_condition,up_to_date,medium,3,moderate,low,basic,8,4,5,False,True,low,1400.0,moderate,True,9,False,"adaptable,independent,hardy,curious,low-maintenance","Most common cat in Indian homes. Hardy, healthy, and extremely adaptable. Perfect for first-time cat owners.",True
Dog,Indian Spitz,Indian,69,male,healthy,up_to_date,small,3,moderate,moderate,intermediate,8,7,6,False,True,high,1900.0,vocal,True,7,False,"playful,loyal,alert,vocal,adaptable","Most popular Indian apartment dog. Fluffy, affectionate, highly adaptable. Barks frequently — good watchdog.",False
Dog,German Shepherd,International,48,female,healthy,up_to_date,large,3,high,moderate,intermediate,7,4,4,True,False,moderate,5300.0,moderate,True,5,False,"loyal,protective,intelligent,versatile,brave",Highly intelligent working dog. Loyal protector. Needs consistent training and daily exercise.,True
Cat,Bengal,International,15,female,healthy,up_to_date,medium,5,high,moderate,basic,8,5,4,False,True,low,5200.0,vocal,True,5,True,"wild-look,energetic,playful,mischievous,athletic",Wild-looking cat with leopard spots. Extremely active and curious. Not a lap cat. Needs vertical space to climb.,True
Dog,Indian Spitz,Indian,46,male,healthy,up_to_date,small,3,moderate,moderate,intermediate,8,8,7,False,True,high,1700.0,vocal,True,7,False,"playful,loyal,alert,vocal,adaptable","Most popular Indian apartment dog. Fluffy, affectionate, highly adaptable. Barks frequently — good watchdog.",True
Dog,German Shepherd,International,11,male,healthy,up_to_date,large,4,high,moderate,intermediate,7,5,5,True,False,moderate,5200.0,moderate,True,4,False,"loyal,protective,intelligent,versatile,brave",Highly intelligent working dog. Loyal protector. Needs consistent training and daily exercise.,False
Dog,Mixed Breed (Indian Street),Indian,132,male,healthy,not_vaccinated,medium,2,moderate,moderate,basic,6,5,5,False,True,low,1400.0,moderate,True,7,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,False
Dog,Mixed Breed (Indian Street),Indian,22,female,healthy,partial,medium,3,moderate,moderate,basic,8,6,6,False,True,low,1700.0,moderate,True,6,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,False
Dog,Great Dane,International,14,male,healthy,partial,large,2,moderate,moderate,intermediate,7,5,6,True,False,low,6400.0,moderate,True,6,False,"friendly,patient,gentle-giant,calm,devoted",Gentle giant. Calm indoors but needs space due to size. High food and vet costs. Short lifespan 7-10 years.,True
Dog,Rampur Greyhound,Indian,60,male,healthy,partial,large,5,very_high,moderate,basic,8,4,3,True,False,low,2500.0,quiet,True,6,True,"fast,independent,agile,royal,reserved","Cross between Afghan Hound and English Greyhound, bred for royalty in Rampur. Extremely fast, needs vast open space.",False
Dog,Indian Pariah Dog,Indian,49,female,healthy,up_to_date,medium,3,high,moderate,basic,7,5,3,False,True,low,1600.0,moderate,True,6,False,"alert,loyal,intelligent,independent,hardy","Ancient landrace breed, extremely hardy and healthy. Highly adaptable to Indian climate. Intelligent and loyal to family.",False
Dog,Indie (Rescued),Indian,51,male,minor_condition,up_to_date,medium,3,moderate,moderate,untrained,7,6,3,False,True,low,1700.0,moderate,True,6,False,"resilient,loyal,shy-at-first,adaptable,grateful","Shelter/rescue Indie. May take time to trust. Once bonded, extremely loyal. Very healthy and low maintenance.",True
Dog,Chippiparai,Indian,7,male,healthy,partial,medium,5,very_high,high,basic,5,3,3,True,False,low,2000.0,quiet,True,5,True,"fast,agile,elegant,reserved,hunter","Madurai sighthound, bred for hunting. Very fast. Better with experienced owners who can provide structured exercise.",False
Dog,Doberman Pinscher,International,5,male,healthy,up_to_date,large,5,high,high,intermediate,7,3,3,True,False,low,5700.0,moderate,True,5,True,"intelligent,alert,protective,energetic,loyal",Popular guard dog in India. Highly intelligent and trainable. Needs extensive exercise and mental stimulation.,False
Dog,Beagle,International,12,male,healthy,partial,medium,5,high,high,basic,9,7,8,True,False,low,3800.0,vocal,False,3,False,"curious,merry,friendly,vocal,scent-driven","Popular family dog. Follows nose everywhere — needs secure yard. Vocal breed, can disturb neighbors.",True
Cat,Russian Blue,International,4,female,healthy,partial,medium,3,minimal,low,intermediate,8,6,2,False,True,low,4200.0,quiet,True,10,False,"shy,gentle,loyal,quiet,independent",Elegant blue-coated cat. Shy with strangers but deeply loyal to family. Dislikes loud environments.,True
Dog,Indian Spitz,Indian,104,male,healthy,up_to_date,small,2,moderate,moderate,intermediate,8,8,6,False,True,high,2100.0,vocal,True,7,False,"playful,loyal,alert,vocal,adaptable","Most popular Indian apartment dog. Fluffy, affectionate, highly adaptable. Barks frequently — good watchdog.",True
Dog,Rajapalayam,Indian,16,male,healthy,up_to_date,large,5,high,high,intermediate,6,4,2,True,False,low,2200.0,moderate,True,6,True,"loyal,protective,independent,brave,reserved","Royal Tamil Nadu sighthound. One-person dog — extremely loyal to owner, aloof with strangers. Needs experienced handler.",False
Cat,Maine Coon,International,6,male,healthy,not_vaccinated,large,3,moderate,moderate,basic,9,8,7,False,True,high,5600.0,moderate,True,8,False,"gentle-giant,dog-like,playful,friendly,social",Largest domestic cat breed. Dog-like personality. Loves water. Needs AC in Indian summers due to long coat.,False
Cat,Siamese,International,54,female,healthy,partial,medium,4,moderate,moderate,intermediate,7,5,5,False,True,low,3800.0,vocal,True,8,False,"vocal,social,intelligent,demanding,affectionate",Very chatty and social. Demands attention. Dislikes being alone long. Bonds deeply with one person.,True
Cat,Maine Coon,International,70,male,healthy,not_vaccinated,large,2,moderate,moderate,basic,10,8,8,False,True,high,4700.0,moderate,True,8,False,"gentle-giant,dog-like,playful,friendly,social",Largest domestic cat breed. Dog-like personality. Loves water. Needs AC in Indian summers due to long coat.,True
Dog,Labrador Retriever,International,103,female,healthy,up_to_date,large,4,high,moderate,intermediate,10,9,8,True,False,moderate,4200.0,moderate,True,4,False,"friendly,outgoing,gentle,trainable,family-dog",Most popular family dog in India. Excellent with children. Needs daily exercise and mental stimulation.,True
Cat,Ragdoll,International,71,male,healthy,up_to_date,large,2,minimal,low,intermediate,10,7,9,False,True,high,5600.0,quiet,True,8,False,"docile,gentle,floppy,affectionate,calm",Goes limp when held — hence Ragdoll. Extremely gentle. Perfect for families with children. Needs regular brushing.,True
Cat,Indian Domestic Short Hair,Indian,26,male,healthy,up_to_date,medium,4,moderate,low,basic,6,7,5,False,True,low,1400.0,moderate,True,9,False,"adaptable,independent,hardy,curious,low-maintenance","Most common cat in Indian homes. Hardy, healthy, and extremely adaptable. Perfect for first-time cat owners.",True
Cat,Indian Domestic Short Hair,Indian,105,male,minor_condition,not_vaccinated,medium,1,moderate,low,basic,6,6,5,False,True,low,1300.0,moderate,True,11,False,"adaptable,independent,hardy,curious,low-maintenance","Most common cat in Indian homes. Hardy, healthy, and extremely adaptable. Perfect for first-time cat owners.",True
Cat,Indian Street Cat (Rescued),Indian,2,male,healthy,partial,medium,5,minimal,low,basic,5,5,5,False,True,low,1100.0,quiet,True,10,False,"independent,cautious,adaptable,resilient,gentle",Rescued street cat. Takes time to adjust indoors. Very hardy. Lowest cost cat to maintain in India.,True
Cat,Persian,International,147,male,serious_condition,up_to_date,medium,1,minimal,low,basic,5,7,5,False,True,high,4500.0,quiet,True,11,False,"calm,gentle,quiet,affectionate,lap-cat",Most popular purebred cat in India. Calm and gentle. Requires daily grooming and AC in Indian summers.,True
Cat,Indian Domestic Short Hair,Indian,92,female,healthy,partial,medium,2,moderate,low,basic,7,6,5,False,True,low,1200.0,moderate,True,9,False,"adaptable,independent,hardy,curious,low-maintenance","Most common cat in Indian homes. Hardy, healthy, and extremely adaptable. Perfect for first-time cat owners.",False
Dog,Jonangi,Indian,61,female,healthy,partial,medium,4,high,moderate,basic,7,6,5,False,True,low,1600.0,quiet,True,6,False,"quiet,one-owner,loyal,agile,unusual-vocalization",Andhra Pradesh duck-herding dog. Uniquely doesn't bark — yodels instead. Low maintenance. Can be aloof with strangers.,True
Cat,British Shorthair,International,52,male,minor_condition,up_to_date,medium,2,minimal,low,basic,8,6,6,False,True,moderate,3900.0,quiet,True,9,False,"calm,easygoing,independent,gentle,round-face",Very easy-going and calm. Tolerates being alone well. Does not demand constant attention — ideal for working adults.,True
Dog,German Shepherd,International,47,male,minor_condition,partial,large,4,high,moderate,intermediate,7,4,5,True,False,moderate,5300.0,moderate,True,5,False,"loyal,protective,intelligent,versatile,brave",Highly intelligent working dog. Loyal protector. Needs consistent training and daily exercise.,True
Dog,Mixed Breed (Indian Street),Indian,59,male,healthy,up_to_date,medium,3,moderate,moderate,basic,7,5,5,False,True,low,1600.0,moderate,True,7,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,True
Dog,Indian Pariah Dog,Indian,3,male,healthy,up_to_date,medium,4,high,moderate,basic,7,6,4,False,True,low,1300.0,moderate,True,7,False,"alert,loyal,intelligent,independent,hardy","Ancient landrace breed, extremely hardy and healthy. Highly adaptable to Indian climate. Intelligent and loyal to family.",True
Cat,Indian Domestic Short Hair,Indian,3,male,healthy,partial,medium,5,moderate,low,basic,8,7,6,False,True,low,1400.0,moderate,True,10,False,"adaptable,independent,hardy,curious,low-maintenance","Most common cat in Indian homes. Hardy, healthy, and extremely adaptable. Perfect for first-time cat owners.",True
Cat,Persian Cats,International,87,male,healthy,not_vaccinated,medium,1,minimal,low,basic,5,7,4,False,True,high,4000.0,quiet,True,10,False,"calm,gentle,quiet,affectionate,lap-cat",Most popular purebred cat in India. Calm and gentle. Daily grooming and AC required in Indian summers.,True
Dog,Gaddi Kutta,Indian,1,female,healthy,partial,large,4,moderate,high,intermediate,7,5,3,True,False,high,3200.0,moderate,True,5,True,"protective,gentle-with-family,brave,mountain-dog",Himalayan sheepdog. Excellent family protector. Good with children in family but suspicious of strangers.,False
Dog,Rampur Greyhound,Indian,3,male,healthy,partial,large,5,very_high,moderate,basic,6,5,4,True,False,low,2200.0,quiet,True,5,True,"fast,independent,agile,royal,reserved","Cross between Afghan Hound and English Greyhound, bred for royalty in Rampur. Extremely fast, needs vast open space.",False
Dog,Shih Tzu,International,18,male,healthy,not_vaccinated,small,2,minimal,moderate,basic,7,7,9,False,True,high,3500.0,quiet,True,7,False,"affectionate,calm,adaptable,gentle,lap-dog",Excellent apartment dog. Loves attention. Needs extensive daily grooming. Good with children.,False
Dog,Mixed Breed (Indian Street),Indian,34,male,healthy,partial,medium,4,moderate,moderate,basic,6,5,5,False,True,low,1400.0,moderate,True,7,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,False
